2026-09-11 23:44:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24960, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-11 23:44:54 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-12 01:58:00 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-12 01:59:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 27216, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-12 01:59:16 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-12 20:18:42 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-12 20:21:02 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19212, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-12 20:21:02 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-12 22:01:34 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 6084, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-12 22:01:34 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-13 02:07:55 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-13 02:08:45 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15564, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-13 02:08:45 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-09-13 02:10:56 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 17228, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-13 02:10:56 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-09-13 22:24:27 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-09-13 22:26:17 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7608, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-09-13 22:26:17 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

